,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
7975,0.023,0.023,0.793,0.023,0.023,0.023,0.023,0.023,0.023,0.023
7976,0.456,0.026,0.026,0.026,0.026,0.026,0.026,0.337,0.026,0.026
7977,0.664,0.022,0.022,0.022,0.022,0.022,0.157,0.022,0.022,0.022
7978,0.026,0.026,0.026,0.768,0.026,0.026,0.026,0.026,0.026,0.026
7979,0.024,0.024,0.024,0.024,0.788,0.024,0.024,0.024,0.024,0.024
7980,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.767,0.026
7981,0.023,0.023,0.023,0.023,0.023,0.023,0.794,0.023,0.023,0.023
7982,0.030,0.030,0.277,0.030,0.234,0.030,0.030,0.030,0.030,0.276
7983,0.600,0.028,0.028,0.028,0.028,0.028,0.028,0.173,0.028,0.028
7984,0.023,0.418,0.023,0.023,0.023,0.023,0.399,0.023,0.023,0.023
7985,0.732,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
7986,0.021,0.021,0.021,0.021,0.021,0.021,0.695,0.021,0.021,0.140
7987,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.564,0.236
7988,0.031,0.031,0.031,0.719,0.031,0.031,0.031,0.031,0.031,0.031
7989,0.023,0.023,0.791,0.023,0.023,0.023,0.023,0.023,0.023,0.023
7990,0.025,0.025,0.025,0.025,0.441,0.025,0.025,0.361,0.025,0.025
7991,0.030,0.030,0.030,0.030,0.030,0.245,0.030,0.030,0.030,0.512
7992,0.027,0.430,0.027,0.027,0.027,0.027,0.356,0.027,0.027,0.027
7993,0.023,0.023,0.023,0.550,0.268,0.023,0.023,0.023,0.023,0.023
7994,0.671,0.020,0.020,0.020,0.020,0.169,0.020,0.020,0.020,0.020
7995,0.030,0.030,0.734,0.030,0.030,0.030,0.030,0.030,0.030,0.030
7996,0.026,0.026,0.428,0.026,0.026,0.026,0.026,0.026,0.026,0.365
7997,0.804,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
7998,0.030,0.030,0.730,0.030,0.030,0.030,0.030,0.030,0.030,0.030
7999,0.028,0.028,0.028,0.747,0.028,0.028,0.028,0.028,0.028,0.028
8000,0.783,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
8001,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.381,0.023,0.432
8002,0.025,0.665,0.025,0.025,0.025,0.131,0.025,0.025,0.025,0.025
8003,0.028,0.475,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.303
8004,0.026,0.654,0.026,0.026,0.026,0.134,0.026,0.026,0.026,0.026
8005,0.248,0.016,0.291,0.016,0.016,0.016,0.346,0.016,0.016,0.016
8006,0.028,0.748,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
8007,0.023,0.023,0.023,0.023,0.023,0.793,0.023,0.023,0.023,0.023
8008,0.029,0.029,0.392,0.029,0.029,0.379,0.029,0.029,0.029,0.029
8009,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.785
8010,0.017,0.017,0.017,0.017,0.850,0.017,0.017,0.017,0.017,0.017
8011,0.631,0.025,0.025,0.025,0.025,0.170,0.025,0.025,0.025,0.025
8012,0.027,0.027,0.250,0.536,0.027,0.027,0.027,0.027,0.027,0.027
8013,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.770
8014,0.026,0.026,0.026,0.607,0.026,0.026,0.187,0.026,0.026,0.026
8015,0.026,0.026,0.026,0.026,0.026,0.656,0.026,0.026,0.026,0.139
8016,0.770,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
8017,0.022,0.022,0.022,0.799,0.022,0.022,0.022,0.022,0.022,0.022
8018,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.749
8019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.829,0.019
8020,0.024,0.786,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
8021,0.030,0.030,0.729,0.030,0.030,0.030,0.030,0.030,0.030,0.030
8022,0.025,0.025,0.520,0.025,0.170,0.025,0.132,0.025,0.025,0.025
8023,0.026,0.130,0.026,0.482,0.026,0.209,0.026,0.026,0.026,0.026
8024,0.022,0.504,0.323,0.022,0.022,0.022,0.022,0.022,0.022,0.022
8025,0.023,0.023,0.023,0.793,0.023,0.023,0.023,0.023,0.023,0.023
8026,0.023,0.023,0.671,0.023,0.144,0.023,0.023,0.023,0.023,0.023
8027,0.027,0.754,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
8028,0.028,0.748,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
8029,0.027,0.027,0.027,0.027,0.027,0.266,0.521,0.027,0.027,0.027
8030,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.746,0.028,0.028
8031,0.738,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029
8032,0.022,0.213,0.022,0.119,0.022,0.022,0.437,0.022,0.098,0.022
8033,0.805,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
8034,0.023,0.204,0.243,0.391,0.023,0.023,0.023,0.023,0.023,0.023
8035,0.026,0.026,0.026,0.763,0.026,0.026,0.026,0.026,0.026,0.026
8036,0.190,0.022,0.022,0.022,0.634,0.022,0.022,0.022,0.022,0.022
8037,0.687,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
8038,0.807,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
8039,0.168,0.027,0.618,0.027,0.027,0.027,0.027,0.027,0.027,0.027
8040,0.617,0.026,0.026,0.026,0.026,0.174,0.026,0.026,0.026,0.026
8041,0.590,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.225,0.023
8042,0.024,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024,0.024
8043,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.312,0.025,0.491
8044,0.024,0.785,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
8045,0.024,0.144,0.024,0.660,0.024,0.024,0.024,0.024,0.024,0.024
8046,0.404,0.337,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032
8047,0.334,0.023,0.023,0.023,0.173,0.023,0.023,0.331,0.023,0.023
8048,0.023,0.023,0.023,0.023,0.023,0.793,0.023,0.023,0.023,0.023
8049,0.016,0.086,0.331,0.016,0.016,0.016,0.016,0.016,0.016,0.469
8050,0.019,0.019,0.019,0.019,0.019,0.019,0.766,0.019,0.084,0.019
8051,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.219,0.025,0.581
8052,0.028,0.028,0.201,0.028,0.028,0.028,0.574,0.028,0.028,0.028
8053,0.636,0.026,0.026,0.026,0.026,0.156,0.026,0.026,0.026,0.026
8054,0.025,0.025,0.777,0.025,0.025,0.025,0.025,0.025,0.025,0.025
8055,0.023,0.023,0.023,0.023,0.792,0.023,0.023,0.023,0.023,0.023
8056,0.026,0.026,0.026,0.026,0.768,0.026,0.026,0.026,0.026,0.026
8057,0.023,0.023,0.023,0.792,0.023,0.023,0.023,0.023,0.023,0.023
8058,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.694,0.034
8059,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.774,0.025
8060,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.773
8061,0.026,0.174,0.354,0.288,0.026,0.026,0.026,0.026,0.026,0.026
8062,0.026,0.026,0.026,0.026,0.026,0.770,0.026,0.026,0.026,0.026
8063,0.032,0.713,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032
8064,0.026,0.026,0.770,0.026,0.026,0.026,0.026,0.026,0.026,0.026
8065,0.017,0.017,0.017,0.017,0.313,0.017,0.017,0.017,0.550,0.017
8066,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.810,0.021
8067,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.773,0.025
8068,0.027,0.759,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
8069,0.689,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.129,0.023
8070,0.025,0.025,0.025,0.025,0.774,0.025,0.025,0.025,0.025,0.025
8071,0.034,0.034,0.034,0.034,0.691,0.034,0.034,0.034,0.034,0.034
8072,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.772,0.025,0.025
8073,0.490,0.018,0.080,0.018,0.304,0.018,0.018,0.018,0.018,0.018
8074,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.709,0.032
8075,0.024,0.243,0.024,0.566,0.024,0.024,0.024,0.024,0.024,0.024
8076,0.766,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
8077,0.025,0.025,0.638,0.025,0.025,0.025,0.025,0.025,0.158,0.025
8078,0.029,0.029,0.737,0.029,0.029,0.029,0.029,0.029,0.029,0.029
8079,0.023,0.023,0.023,0.023,0.023,0.023,0.790,0.023,0.023,0.023
8080,0.024,0.024,0.787,0.024,0.024,0.024,0.024,0.024,0.024,0.024
8081,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.776
8082,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.766,0.026
8083,0.024,0.451,0.361,0.024,0.024,0.024,0.024,0.024,0.024,0.024
8084,0.028,0.748,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
8085,0.032,0.032,0.032,0.032,0.715,0.032,0.032,0.032,0.032,0.032
8086,0.029,0.029,0.029,0.029,0.029,0.218,0.554,0.029,0.029,0.029
8087,0.026,0.763,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
8088,0.023,0.475,0.023,0.023,0.023,0.023,0.023,0.344,0.023,0.023
8089,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.762,0.026,0.026
8090,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.777,0.025
8091,0.024,0.787,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
8092,0.026,0.650,0.026,0.026,0.026,0.139,0.026,0.026,0.026,0.026
8093,0.030,0.030,0.030,0.272,0.030,0.030,0.030,0.030,0.030,0.489
8094,0.201,0.027,0.027,0.027,0.027,0.147,0.027,0.236,0.027,0.252
8095,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.769
8096,0.030,0.730,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
8097,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.778
8098,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.805,0.022,0.022
8099,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.173,0.026,0.617
8100,0.028,0.028,0.028,0.745,0.028,0.028,0.028,0.028,0.028,0.028
8101,0.022,0.199,0.272,0.373,0.022,0.022,0.022,0.022,0.022,0.022
8102,0.035,0.347,0.035,0.035,0.035,0.035,0.370,0.035,0.035,0.035
8103,0.029,0.433,0.338,0.029,0.029,0.029,0.029,0.029,0.029,0.029
8104,0.028,0.028,0.028,0.028,0.028,0.028,0.745,0.028,0.028,0.028
8105,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.713,0.032
8106,0.593,0.028,0.028,0.028,0.028,0.183,0.028,0.028,0.028,0.028
8107,0.020,0.020,0.020,0.235,0.020,0.215,0.020,0.020,0.411,0.020
8108,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.783
8109,0.026,0.026,0.026,0.770,0.026,0.026,0.026,0.026,0.026,0.026
8110,0.030,0.733,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
8111,0.021,0.021,0.021,0.021,0.021,0.021,0.809,0.021,0.021,0.021
8112,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.732,0.030
8113,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.776,0.025
8114,0.025,0.025,0.512,0.025,0.025,0.025,0.025,0.290,0.025,0.025
8115,0.300,0.021,0.532,0.021,0.021,0.021,0.021,0.021,0.021,0.021
8116,0.021,0.021,0.021,0.021,0.635,0.021,0.021,0.198,0.021,0.021
8117,0.032,0.032,0.032,0.032,0.032,0.716,0.032,0.032,0.032,0.032
8118,0.020,0.128,0.455,0.179,0.020,0.115,0.021,0.020,0.020,0.020
8119,0.030,0.030,0.732,0.030,0.030,0.030,0.030,0.030,0.030,0.030
8120,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.713,0.032
8121,0.028,0.028,0.028,0.028,0.490,0.028,0.028,0.028,0.288,0.028
8122,0.019,0.019,0.019,0.019,0.019,0.162,0.473,0.019,0.232,0.019
8123,0.025,0.773,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
8124,0.025,0.025,0.025,0.385,0.025,0.025,0.025,0.025,0.025,0.418
8125,0.399,0.018,0.018,0.018,0.018,0.018,0.273,0.198,0.018,0.018
8126,0.654,0.025,0.025,0.025,0.025,0.145,0.025,0.025,0.025,0.025
8127,0.028,0.028,0.028,0.752,0.028,0.028,0.028,0.028,0.028,0.028
8128,0.022,0.022,0.022,0.702,0.022,0.022,0.022,0.022,0.120,0.022
8129,0.025,0.779,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
8130,0.024,0.024,0.024,0.024,0.784,0.024,0.024,0.024,0.024,0.024
8131,0.025,0.490,0.025,0.025,0.025,0.025,0.310,0.025,0.025,0.025
8132,0.535,0.027,0.027,0.027,0.251,0.027,0.027,0.027,0.027,0.027
8133,0.024,0.024,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024
8134,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.787
8135,0.026,0.162,0.026,0.026,0.026,0.026,0.026,0.026,0.134,0.524
8136,0.025,0.025,0.025,0.025,0.025,0.179,0.025,0.025,0.025,0.622
8137,0.030,0.195,0.030,0.030,0.030,0.030,0.030,0.568,0.030,0.030
8138,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.798
8139,0.028,0.028,0.028,0.399,0.028,0.028,0.028,0.028,0.028,0.375
8140,0.031,0.031,0.719,0.031,0.031,0.031,0.031,0.031,0.031,0.031
8141,0.233,0.019,0.255,0.019,0.019,0.019,0.019,0.377,0.019,0.019
8142,0.030,0.030,0.729,0.030,0.030,0.030,0.030,0.030,0.030,0.030
8143,0.483,0.019,0.019,0.019,0.019,0.367,0.019,0.019,0.019,0.019
8144,0.023,0.023,0.793,0.023,0.023,0.023,0.023,0.023,0.023,0.023
8145,0.017,0.017,0.196,0.017,0.017,0.017,0.017,0.017,0.507,0.179
8146,0.787,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
8147,0.026,0.026,0.026,0.026,0.297,0.026,0.026,0.496,0.026,0.026
8148,0.017,0.017,0.017,0.017,0.585,0.281,0.017,0.017,0.017,0.017
8149,0.462,0.022,0.022,0.022,0.022,0.022,0.022,0.359,0.022,0.022
8150,0.018,0.018,0.335,0.018,0.385,0.018,0.018,0.018,0.156,0.018
8151,0.278,0.019,0.019,0.019,0.568,0.019,0.019,0.019,0.019,0.019
8152,0.023,0.023,0.023,0.022,0.023,0.023,0.023,0.797,0.023,0.023
8153,0.817,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020
8154,0.018,0.018,0.018,0.018,0.018,0.018,0.266,0.018,0.018,0.587
8155,0.031,0.720,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
8156,0.797,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
8157,0.025,0.025,0.321,0.336,0.170,0.025,0.025,0.025,0.025,0.025
8158,0.023,0.023,0.023,0.790,0.023,0.023,0.023,0.023,0.023,0.023
8159,0.026,0.026,0.026,0.762,0.026,0.026,0.026,0.026,0.026,0.026
8160,0.023,0.023,0.023,0.023,0.421,0.023,0.023,0.023,0.230,0.190
8161,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.146,0.025,0.657
8162,0.283,0.029,0.231,0.281,0.029,0.029,0.029,0.029,0.029,0.029
8163,0.023,0.023,0.794,0.023,0.023,0.023,0.023,0.023,0.023,0.023
8164,0.024,0.024,0.246,0.565,0.024,0.024,0.024,0.024,0.024,0.024
8165,0.028,0.285,0.028,0.492,0.028,0.028,0.028,0.028,0.028,0.028
8166,0.027,0.372,0.027,0.414,0.027,0.027,0.027,0.027,0.027,0.027
8167,0.021,0.021,0.021,0.021,0.497,0.021,0.021,0.335,0.021,0.021
8168,0.306,0.026,0.026,0.026,0.026,0.026,0.120,0.026,0.390,0.026
8169,0.237,0.225,0.311,0.019,0.019,0.019,0.019,0.019,0.019,0.110
8170,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.379,0.449
8171,0.020,0.189,0.020,0.020,0.020,0.020,0.496,0.020,0.176,0.020
8172,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.774,0.025,0.025
8173,0.026,0.026,0.770,0.026,0.026,0.026,0.026,0.026,0.026,0.026
8174,0.027,0.761,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
8175,0.029,0.029,0.029,0.738,0.029,0.029,0.029,0.029,0.029,0.029
8176,0.026,0.026,0.026,0.026,0.026,0.216,0.026,0.026,0.026,0.573
8177,0.024,0.024,0.784,0.024,0.024,0.024,0.024,0.024,0.024,0.024
8178,0.026,0.026,0.026,0.770,0.026,0.026,0.026,0.026,0.026,0.026
8179,0.028,0.745,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
8180,0.022,0.022,0.022,0.801,0.022,0.022,0.022,0.022,0.022,0.022
8181,0.026,0.770,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
8182,0.023,0.023,0.023,0.023,0.023,0.793,0.023,0.023,0.023,0.023
8183,0.024,0.024,0.024,0.024,0.313,0.024,0.024,0.024,0.024,0.496
8184,0.730,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
8185,0.031,0.031,0.191,0.559,0.031,0.031,0.031,0.031,0.031,0.031
8186,0.024,0.695,0.024,0.024,0.024,0.109,0.024,0.024,0.024,0.024
8187,0.153,0.016,0.049,0.016,0.655,0.016,0.016,0.048,0.016,0.016
8188,0.531,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.095,0.217
8189,0.287,0.515,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
8190,0.020,0.020,0.020,0.020,0.816,0.020,0.020,0.020,0.020,0.020
8191,0.030,0.030,0.734,0.030,0.030,0.030,0.030,0.030,0.030,0.030
8192,0.442,0.020,0.020,0.020,0.020,0.020,0.020,0.398,0.020,0.020
8193,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.734
8194,0.022,0.022,0.550,0.022,0.176,0.123,0.022,0.022,0.022,0.022
8195,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.790
8196,0.023,0.537,0.282,0.023,0.023,0.023,0.023,0.023,0.023,0.023
8197,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.737,0.029
8198,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.769,0.026,0.026
8199,0.022,0.022,0.022,0.717,0.022,0.022,0.022,0.022,0.022,0.110
8200,0.032,0.032,0.484,0.259,0.032,0.032,0.032,0.032,0.032,0.032
8201,0.027,0.027,0.759,0.027,0.027,0.027,0.027,0.027,0.027,0.027
8202,0.029,0.029,0.029,0.029,0.029,0.029,0.405,0.029,0.029,0.361
8203,0.798,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
8204,0.018,0.018,0.018,0.446,0.018,0.018,0.018,0.018,0.406,0.018
8205,0.026,0.272,0.026,0.522,0.026,0.026,0.026,0.026,0.026,0.026
8206,0.287,0.030,0.030,0.030,0.473,0.030,0.030,0.030,0.030,0.030
8207,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.773,0.025,0.025
8208,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.665,0.037
8209,0.026,0.026,0.026,0.354,0.435,0.026,0.026,0.026,0.026,0.026
8210,0.023,0.203,0.023,0.023,0.023,0.023,0.023,0.023,0.616,0.023
8211,0.024,0.024,0.787,0.024,0.024,0.024,0.024,0.024,0.024,0.024
8212,0.026,0.026,0.026,0.026,0.770,0.026,0.026,0.026,0.026,0.026
8213,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.762,0.026,0.026
8214,0.022,0.022,0.022,0.802,0.022,0.022,0.022,0.022,0.022,0.022
8215,0.026,0.026,0.026,0.026,0.026,0.768,0.026,0.026,0.026,0.026
8216,0.025,0.355,0.025,0.025,0.025,0.447,0.025,0.025,0.025,0.025
8217,0.020,0.020,0.020,0.125,0.331,0.020,0.335,0.020,0.091,0.020
8218,0.611,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.211,0.022
8219,0.019,0.019,0.019,0.019,0.828,0.019,0.019,0.019,0.019,0.019
8220,0.024,0.024,0.024,0.243,0.024,0.024,0.024,0.024,0.567,0.024
8221,0.173,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.628
8222,0.025,0.025,0.778,0.025,0.025,0.025,0.025,0.025,0.025,0.025
8223,0.768,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
8224,0.023,0.023,0.394,0.023,0.023,0.023,0.023,0.023,0.425,0.023
8225,0.026,0.026,0.768,0.026,0.026,0.026,0.026,0.026,0.026,0.026
8226,0.031,0.031,0.031,0.720,0.031,0.031,0.031,0.031,0.031,0.031
8227,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.746
8228,0.322,0.182,0.343,0.022,0.022,0.022,0.022,0.022,0.022,0.022
8229,0.026,0.026,0.026,0.526,0.026,0.026,0.262,0.026,0.026,0.026
8230,0.023,0.023,0.023,0.023,0.023,0.789,0.023,0.023,0.023,0.023
8231,0.024,0.024,0.024,0.510,0.024,0.294,0.024,0.024,0.024,0.024
8232,0.026,0.026,0.026,0.026,0.763,0.026,0.026,0.026,0.026,0.026
8233,0.032,0.032,0.032,0.711,0.032,0.032,0.032,0.032,0.032,0.032
8234,0.022,0.022,0.799,0.022,0.022,0.022,0.022,0.022,0.022,0.022
8235,0.024,0.780,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
8236,0.023,0.023,0.023,0.794,0.023,0.023,0.023,0.023,0.023,0.023
8237,0.026,0.026,0.770,0.026,0.026,0.026,0.026,0.026,0.026,0.026
8238,0.479,0.024,0.024,0.024,0.024,0.024,0.024,0.195,0.159,0.024
8239,0.024,0.024,0.024,0.024,0.024,0.786,0.024,0.024,0.024,0.024
8240,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.760
8241,0.034,0.034,0.034,0.698,0.034,0.034,0.034,0.034,0.034,0.034
8242,0.027,0.027,0.027,0.580,0.027,0.027,0.203,0.027,0.027,0.027
8243,0.023,0.023,0.023,0.796,0.023,0.023,0.023,0.023,0.023,0.023
8244,0.755,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
8245,0.019,0.019,0.374,0.019,0.019,0.019,0.019,0.019,0.019,0.470
8246,0.025,0.025,0.146,0.445,0.025,0.025,0.134,0.025,0.025,0.123
8247,0.020,0.020,0.020,0.020,0.020,0.098,0.020,0.524,0.235,0.020
8248,0.363,0.022,0.022,0.022,0.022,0.022,0.318,0.022,0.163,0.022
8249,0.482,0.024,0.024,0.323,0.024,0.024,0.024,0.024,0.024,0.024
8250,0.024,0.024,0.786,0.024,0.024,0.024,0.024,0.024,0.024,0.024
8251,0.026,0.026,0.026,0.763,0.026,0.026,0.026,0.026,0.026,0.026
8252,0.515,0.043,0.015,0.305,0.015,0.015,0.015,0.047,0.015,0.015
8253,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.748
8254,0.026,0.026,0.605,0.026,0.026,0.026,0.026,0.190,0.026,0.026
8255,0.698,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034
8256,0.025,0.259,0.025,0.025,0.025,0.025,0.025,0.191,0.025,0.378
8257,0.026,0.766,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
8258,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.735
8259,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.784
8260,0.027,0.027,0.760,0.027,0.027,0.027,0.027,0.027,0.027,0.027
8261,0.732,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
8262,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.718,0.031
8263,0.502,0.021,0.330,0.021,0.021,0.021,0.021,0.021,0.021,0.021
8264,0.771,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
8265,0.019,0.019,0.419,0.019,0.019,0.019,0.431,0.019,0.019,0.019
8266,0.309,0.029,0.029,0.456,0.029,0.029,0.029,0.029,0.029,0.029
8267,0.034,0.034,0.034,0.034,0.299,0.034,0.034,0.431,0.034,0.034
8268,0.025,0.025,0.777,0.025,0.025,0.025,0.025,0.025,0.025,0.025
8269,0.541,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.278
8270,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.791,0.023
8271,0.026,0.026,0.026,0.026,0.026,0.026,0.507,0.026,0.285,0.026
8272,0.026,0.026,0.026,0.026,0.026,0.026,0.770,0.026,0.026,0.026
8273,0.487,0.032,0.032,0.259,0.032,0.032,0.032,0.032,0.032,0.032
8274,0.793,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
8275,0.026,0.026,0.026,0.026,0.026,0.768,0.026,0.026,0.026,0.026
8276,0.520,0.026,0.026,0.169,0.026,0.026,0.026,0.026,0.126,0.026
8277,0.025,0.025,0.778,0.025,0.025,0.025,0.025,0.025,0.025,0.025
8278,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.730,0.030
8279,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.764
8280,0.028,0.028,0.449,0.028,0.028,0.028,0.028,0.028,0.328,0.028
8281,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.827
8282,0.024,0.115,0.169,0.024,0.024,0.024,0.024,0.118,0.024,0.452
8283,0.029,0.737,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029
8284,0.779,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
8285,0.027,0.027,0.027,0.759,0.027,0.027,0.027,0.027,0.027,0.027
8286,0.024,0.024,0.350,0.024,0.024,0.024,0.024,0.024,0.328,0.157
8287,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.501,0.363
8288,0.026,0.026,0.766,0.026,0.026,0.026,0.026,0.026,0.026,0.026
8289,0.021,0.103,0.021,0.021,0.518,0.021,0.021,0.231,0.021,0.021
8290,0.024,0.024,0.243,0.024,0.568,0.024,0.024,0.024,0.024,0.024
8291,0.531,0.022,0.022,0.022,0.022,0.294,0.022,0.022,0.022,0.022
8292,0.026,0.026,0.026,0.026,0.026,0.026,0.513,0.026,0.026,0.276
8293,0.024,0.024,0.666,0.024,0.024,0.024,0.024,0.024,0.144,0.024
8294,0.022,0.022,0.022,0.022,0.022,0.798,0.022,0.022,0.022,0.022
8295,0.511,0.027,0.027,0.275,0.027,0.027,0.027,0.027,0.027,0.027
8296,0.024,0.780,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
8297,0.029,0.029,0.029,0.488,0.029,0.029,0.029,0.029,0.278,0.029
8298,0.649,0.019,0.019,0.019,0.019,0.196,0.019,0.019,0.019,0.019
