,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
1943,0.022,0.022,0.022,0.022,0.412,0.117,0.022,0.313,0.022,0.022
1944,0.029,0.029,0.029,0.029,0.735,0.029,0.029,0.029,0.029,0.029
1945,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.804
1946,0.616,0.195,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
1947,0.224,0.019,0.335,0.019,0.019,0.019,0.306,0.019,0.019,0.019
1948,0.763,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
1949,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.714,0.032,0.032
1950,0.026,0.026,0.026,0.769,0.026,0.026,0.026,0.026,0.026,0.026
1951,0.027,0.027,0.027,0.027,0.027,0.757,0.027,0.027,0.027,0.027
1952,0.023,0.023,0.239,0.023,0.023,0.023,0.023,0.023,0.023,0.580
1953,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.794
1954,0.027,0.437,0.027,0.027,0.027,0.027,0.027,0.347,0.027,0.027
1955,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.748,0.028
1956,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.765,0.026,0.026
1957,0.310,0.021,0.325,0.021,0.021,0.218,0.021,0.021,0.021,0.021
1958,0.027,0.027,0.027,0.027,0.027,0.208,0.027,0.027,0.027,0.572
1959,0.024,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024,0.024
1960,0.024,0.024,0.024,0.024,0.024,0.024,0.786,0.024,0.024,0.024
1961,0.023,0.023,0.023,0.355,0.023,0.462,0.023,0.023,0.023,0.023
1962,0.025,0.025,0.025,0.025,0.025,0.777,0.025,0.025,0.025,0.025
1963,0.398,0.022,0.429,0.022,0.022,0.022,0.022,0.022,0.022,0.022
1964,0.038,0.038,0.654,0.038,0.038,0.038,0.038,0.038,0.038,0.038
1965,0.023,0.023,0.793,0.023,0.023,0.023,0.023,0.023,0.023,0.023
1966,0.381,0.025,0.025,0.422,0.025,0.025,0.025,0.025,0.025,0.025
1967,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.731
1968,0.150,0.023,0.145,0.023,0.351,0.023,0.023,0.023,0.023,0.218
1969,0.019,0.019,0.019,0.019,0.827,0.019,0.019,0.019,0.019,0.019
1970,0.023,0.023,0.023,0.796,0.023,0.023,0.023,0.023,0.023,0.023
1971,0.575,0.117,0.018,0.018,0.054,0.018,0.018,0.018,0.149,0.018
1972,0.030,0.030,0.030,0.415,0.030,0.030,0.342,0.030,0.030,0.030
1973,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.769,0.026,0.026
1974,0.027,0.027,0.759,0.027,0.027,0.027,0.027,0.027,0.027,0.027
1975,0.026,0.212,0.026,0.451,0.026,0.155,0.026,0.026,0.026,0.026
1976,0.590,0.221,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
1977,0.024,0.024,0.494,0.024,0.024,0.024,0.191,0.024,0.024,0.144
1978,0.034,0.034,0.034,0.034,0.690,0.034,0.034,0.034,0.034,0.034
1979,0.018,0.018,0.018,0.018,0.773,0.085,0.018,0.018,0.018,0.018
1980,0.028,0.028,0.028,0.028,0.028,0.747,0.028,0.028,0.028,0.028
1981,0.026,0.026,0.026,0.026,0.766,0.026,0.026,0.026,0.026,0.026
1982,0.023,0.023,0.132,0.023,0.023,0.023,0.100,0.023,0.023,0.608
1983,0.031,0.031,0.031,0.720,0.031,0.031,0.031,0.031,0.031,0.031
1984,0.028,0.028,0.028,0.749,0.028,0.028,0.028,0.028,0.028,0.028
1985,0.028,0.028,0.028,0.028,0.028,0.028,0.746,0.028,0.028,0.028
1986,0.027,0.760,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
1987,0.023,0.023,0.023,0.219,0.023,0.023,0.023,0.023,0.105,0.515
1988,0.027,0.027,0.027,0.027,0.027,0.754,0.027,0.027,0.027,0.027
1989,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.509,0.365
1990,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.758,0.027
1991,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.747
1992,0.026,0.026,0.492,0.026,0.026,0.193,0.026,0.136,0.026,0.026
1993,0.024,0.024,0.024,0.286,0.024,0.024,0.024,0.024,0.523,0.024
1994,0.143,0.020,0.582,0.020,0.020,0.020,0.132,0.020,0.020,0.020
1995,0.024,0.024,0.024,0.024,0.024,0.787,0.024,0.024,0.024,0.024
1996,0.391,0.028,0.028,0.028,0.384,0.028,0.028,0.028,0.028,0.028
1997,0.025,0.179,0.025,0.625,0.025,0.025,0.025,0.025,0.025,0.025
1998,0.025,0.025,0.424,0.025,0.025,0.025,0.025,0.025,0.025,0.378
1999,0.028,0.028,0.028,0.028,0.028,0.749,0.028,0.028,0.028,0.028
2000,0.032,0.032,0.032,0.032,0.715,0.032,0.032,0.032,0.032,0.032
2001,0.027,0.027,0.027,0.027,0.761,0.027,0.027,0.027,0.027,0.027
2002,0.023,0.023,0.023,0.023,0.555,0.023,0.160,0.023,0.125,0.023
2003,0.771,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2004,0.477,0.022,0.345,0.022,0.022,0.022,0.022,0.022,0.022,0.022
2005,0.026,0.026,0.026,0.026,0.026,0.769,0.026,0.026,0.026,0.026
2006,0.026,0.026,0.226,0.026,0.026,0.567,0.026,0.026,0.026,0.026
2007,0.029,0.029,0.029,0.738,0.029,0.029,0.029,0.029,0.029,0.029
2008,0.026,0.026,0.026,0.770,0.026,0.026,0.026,0.026,0.026,0.026
2009,0.028,0.028,0.556,0.028,0.028,0.028,0.028,0.028,0.028,0.223
2010,0.024,0.024,0.024,0.787,0.024,0.024,0.024,0.024,0.024,0.024
2011,0.019,0.019,0.020,0.019,0.573,0.020,0.019,0.271,0.020,0.020
2012,0.250,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.601
2013,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.648,0.138,0.027
2014,0.018,0.018,0.018,0.018,0.352,0.018,0.018,0.018,0.018,0.502
2015,0.025,0.025,0.776,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2016,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.778
2017,0.037,0.037,0.037,0.037,0.037,0.670,0.037,0.037,0.037,0.037
2018,0.026,0.026,0.550,0.244,0.026,0.026,0.026,0.026,0.026,0.026
2019,0.024,0.024,0.024,0.466,0.024,0.024,0.338,0.024,0.024,0.024
2020,0.139,0.019,0.095,0.019,0.560,0.019,0.091,0.019,0.019,0.019
2021,0.026,0.026,0.026,0.766,0.026,0.026,0.026,0.026,0.026,0.026
2022,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.828,0.019,0.019
2023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.781,0.024
2024,0.023,0.023,0.023,0.023,0.023,0.794,0.023,0.023,0.023,0.023
2025,0.485,0.019,0.019,0.019,0.019,0.019,0.360,0.019,0.019,0.019
2026,0.644,0.024,0.024,0.024,0.024,0.024,0.024,0.167,0.024,0.024
2027,0.732,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
2028,0.812,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
2029,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.758
2030,0.023,0.569,0.249,0.023,0.023,0.023,0.023,0.023,0.023,0.023
2031,0.025,0.025,0.025,0.772,0.025,0.025,0.025,0.025,0.025,0.025
2032,0.022,0.022,0.022,0.798,0.022,0.022,0.022,0.022,0.022,0.022
2033,0.027,0.027,0.755,0.027,0.027,0.027,0.027,0.027,0.027,0.027
2034,0.024,0.024,0.024,0.024,0.024,0.785,0.024,0.024,0.024,0.024
2035,0.017,0.129,0.017,0.017,0.676,0.077,0.017,0.017,0.017,0.017
2036,0.623,0.020,0.020,0.020,0.020,0.092,0.020,0.020,0.144,0.020
2037,0.031,0.031,0.031,0.542,0.031,0.031,0.031,0.031,0.209,0.031
2038,0.636,0.022,0.022,0.022,0.022,0.022,0.022,0.185,0.022,0.022
2039,0.032,0.032,0.032,0.714,0.032,0.032,0.032,0.032,0.032,0.032
2040,0.023,0.023,0.794,0.023,0.023,0.023,0.023,0.023,0.023,0.023
2041,0.035,0.035,0.687,0.035,0.035,0.035,0.035,0.035,0.035,0.035
2042,0.022,0.022,0.022,0.022,0.399,0.022,0.022,0.022,0.022,0.421
2043,0.021,0.021,0.814,0.021,0.021,0.021,0.021,0.021,0.021,0.021
2044,0.021,0.021,0.021,0.021,0.812,0.021,0.021,0.021,0.021,0.021
2045,0.028,0.028,0.028,0.316,0.460,0.028,0.028,0.028,0.028,0.028
2046,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.720,0.031
2047,0.509,0.030,0.030,0.030,0.030,0.030,0.249,0.030,0.030,0.030
2048,0.024,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024,0.024
2049,0.027,0.027,0.027,0.326,0.027,0.027,0.461,0.027,0.027,0.027
2050,0.027,0.027,0.753,0.027,0.027,0.027,0.027,0.027,0.027,0.027
2051,0.029,0.235,0.530,0.029,0.029,0.029,0.029,0.029,0.029,0.029
2052,0.034,0.034,0.034,0.034,0.034,0.261,0.235,0.034,0.034,0.265
2053,0.232,0.024,0.024,0.024,0.412,0.024,0.024,0.187,0.024,0.024
2054,0.196,0.023,0.023,0.023,0.617,0.023,0.023,0.023,0.023,0.023
2055,0.023,0.023,0.023,0.794,0.023,0.023,0.023,0.023,0.023,0.023
2056,0.027,0.027,0.183,0.027,0.027,0.027,0.027,0.027,0.027,0.601
2057,0.434,0.019,0.416,0.019,0.019,0.019,0.019,0.019,0.019,0.019
2058,0.027,0.027,0.027,0.759,0.027,0.027,0.027,0.027,0.027,0.027
